time,P,G(i),H_sun,T2m,WS10m,Int
20150114:0110,0.0,0.0,0.0,6.56,6.69,0.0
20150114:0210,0.0,0.0,0.0,5.73,5.52,0.0
20150114:0310,0.0,0.0,0.0,5.05,5.24,0.0
20150114:0410,0.0,0.0,0.0,4.57,5.24,0.0
20150114:0510,0.0,0.0,0.0,4.53,5.79,0.0
20150114:0610,0.0,0.0,0.0,4.67,6.41,0.0
20150114:0710,0.0,0.0,0.0,5.68,7.1,0.0
20150114:0810,4862.91,89.49,3.38,5.86,7.24,0.0
20150114:0910,2726.33,56.26,10.42,6.14,7.17,0.0
20150114:1010,46765.78,701.31,15.77,6.55,7.59,0.0
20150114:1110,10651.05,174.06,19.0,6.63,5.93,0.0
20150114:1210,2890.27,59.28,19.78,7.41,6.34,0.0
20150114:1310,29744.45,451.68,18.04,7.83,6.14,0.0
20150114:1410,38069.92,579.46,13.95,7.9,5.45,0.0
20150114:1510,19445.58,306.65,7.9,7.56,4.07,0.0
20150114:1610,0.0,0.0,0.0,6.82,3.38,0.0
20150114:1710,0.0,0.0,0.0,5.81,3.24,0.0
20150114:1810,0.0,0.0,0.0,5.67,3.52,0.0
20150114:1910,0.0,0.0,0.0,6.68,4.62,0.0
20150114:2010,0.0,0.0,0.0,7.06,5.38,0.0
20150114:2110,0.0,0.0,0.0,7.34,6.14,0.0
20150114:2210,0.0,0.0,0.0,7.66,6.76,0.0
20150114:2310,0.0,0.0,0.0,7.71,7.1,0.0
20150115:0010,0.0,0.0,0.0,7.92,7.45,0.0
20150115:0110,0.0,0.0,0.0,8.14,7.72,0.0
20150115:0210,0.0,0.0,0.0,8.3,8.07,0.0
20150115:0310,0.0,0.0,0.0,8.37,8.34,0.0
20150115:0410,0.0,0.0,0.0,8.61,8.55,0.0
20150115:0510,0.0,0.0,0.0,8.78,8.62,0.0
20150115:0610,0.0,0.0,0.0,8.93,8.69,0.0
20150115:0710,0.0,0.0,0.0,9.36,8.48,0.0
20150115:0810,1901.3,43.58,3.48,9.5,8.62,0.0
20150115:0910,4863.67,90.04,10.54,9.74,8.9,0.0
20150115:1010,6478.82,114.77,15.92,10.03,9.24,0.0
20150115:1110,10323.92,171.48,19.16,10.29,9.66,0.0
20150115:1210,15685.49,248.79,19.96,10.2,9.66,0.0
20150115:1310,2295.98,50.16,18.23,9.96,9.1,0.0
20150115:1410,3032.21,62.01,14.15,9.56,8.07,0.0
20150115:1510,3369.96,67.27,8.1,9.35,7.1,0.0
20150115:1610,0.0,0.0,0.0,9.0,6.07,0.0
20150115:1710,0.0,0.0,0.0,8.4,5.24,0.0
20150115:1810,0.0,0.0,0.0,7.96,4.83,0.0
20150115:1910,0.0,0.0,0.0,7.85,4.62,0.0
20150115:2010,0.0,0.0,0.0,7.33,4.48,0.0
20150115:2110,0.0,0.0,0.0,6.88,4.14,0.0
20150115:2210,0.0,0.0,0.0,6.46,3.72,0.0
20150115:2310,0.0,0.0,0.0,6.03,3.38,0.0
20150116:0010,0.0,0.0,0.0,5.72,3.03,0.0
20150116:0110,0.0,0.0,0.0,5.53,2.9,0.0
20150116:0210,0.0,0.0,0.0,5.35,2.76,0.0
20150116:0310,0.0,0.0,0.0,5.07,2.28,0.0
20150116:0410,0.0,0.0,0.0,4.84,2.07,0.0
20150116:0510,0.0,0.0,0.0,4.53,1.79,0.0
20150116:0610,0.0,0.0,0.0,4.24,1.59,0.0
20150116:0710,0.0,0.0,0.0,4.51,2.14,0.0
20150116:0810,4751.34,87.65,3.6,4.59,2.14,0.0
20150116:0910,10063.58,164.52,10.68,5.03,2.34,0.0
20150116:1010,6065.17,107.47,16.07,6.26,2.76,0.0
20150116:1110,45727.47,705.63,19.34,7.31,3.38,0.0
20150116:1210,27598.76,424.64,20.15,7.92,3.38,0.0
20150116:1310,25620.8,395.08,18.43,8.45,3.79,0.0
20150116:1410,23720.27,367.58,14.35,8.53,3.52,0.0
20150116:1510,5776.75,103.89,8.3,7.51,2.62,0.0
20150116:1610,0.0,0.0,0.0,6.85,2.14,0.0
20150116:1710,0.0,0.0,0.0,6.11,2.07,0.0
20150116:1810,0.0,0.0,0.0,5.53,2.55,0.0
20150116:1910,0.0,0.0,0.0,5.25,1.66,0.0
20150116:2010,0.0,0.0,0.0,5.02,1.86,0.0
20150116:2110,0.0,0.0,0.0,5.0,2.14,0.0
20150116:2210,0.0,0.0,0.0,4.87,1.93,0.0
20150116:2310,0.0,0.0,0.0,4.33,1.93,0.0
20150117:0010,0.0,0.0,0.0,3.59,2.07,0.0
20150117:0110,0.0,0.0,0.0,2.66,2.28,0.0
20150117:0210,0.0,0.0,0.0,1.81,2.41,0.0
20150117:0310,0.0,0.0,0.0,1.02,2.41,0.0
20150117:0410,0.0,0.0,0.0,0.61,2.28,0.0
20150117:0510,0.0,0.0,0.0,0.36,2.14,0.0
20150117:0610,0.0,0.0,0.0,-0.03,2.0,0.0
20150117:0710,0.0,0.0,0.0,-0.36,1.72,0.0
20150117:0810,4731.61,85.49,3.71,-0.96,1.66,0.0
20150117:0910,28974.07,435.61,10.81,-0.08,1.17,0.0
20150117:1010,38912.41,594.37,16.23,2.43,1.24,0.0
20150117:1110,49571.81,771.28,19.52,3.98,1.66,0.0
20150117:1210,50488.68,785.54,20.35,4.95,2.14,0.0
20150117:1310,43145.36,662.39,18.64,5.42,2.62,0.0
20150117:1410,30241.6,460.98,14.56,5.53,2.97,0.0
20150117:1510,15926.1,252.37,8.51,5.28,2.69,0.0
20150117:1610,0.0,0.0,0.0,4.41,2.48,0.0
20150117:1710,0.0,0.0,0.0,2.79,2.76,0.0
20150117:1810,0.0,0.0,0.0,1.95,2.97,0.0
20150117:1910,0.0,0.0,0.0,1.84,3.45,0.0
20150117:2010,0.0,0.0,0.0,1.31,3.38,0.0
20150117:2110,0.0,0.0,0.0,0.84,3.24,0.0
20150117:2210,0.0,0.0,0.0,0.6,3.17,0.0
20150117:2310,0.0,0.0,0.0,0.55,3.17,0.0
20150118:0010,0.0,0.0,0.0,0.59,3.1,0.0
20150118:0110,0.0,0.0,0.0,0.66,3.03,0.0
20150118:0210,0.0,0.0,0.0,0.66,2.97,0.0
20150118:0310,0.0,0.0,0.0,0.7,3.03,0.0
20150118:0410,0.0,0.0,0.0,0.65,3.17,0.0
20150118:0510,0.0,0.0,0.0,0.71,3.24,0.0
20150118:0610,0.0,0.0,0.0,0.8,3.31,0.0
20150118:0710,0.0,0.0,0.0,0.84,3.31,0.0
20150118:0810,7382.03,124.9,3.84,0.75,3.31,0.0
20150118:0910,22146.86,333.47,10.96,1.39,3.17,0.0
20150118:1010,37044.51,554.08,16.39,2.78,3.72,0.0
20150118:1110,40844.07,614.95,19.7,4.28,4.21,0.0
20150118:1210,31133.42,470.67,20.55,5.61,4.48,0.0
20150118:1310,25859.89,394.51,18.85,6.46,4.21,0.0
20150118:1410,35525.0,542.05,14.77,6.73,3.79,0.0
20150118:1510,12772.45,206.94,8.72,6.68,3.1,0.0
20150118:1610,0.0,0.0,0.0,5.84,2.41,0.0
20150118:1710,0.0,0.0,0.0,4.6,2.48,0.0
20150118:1810,0.0,0.0,0.0,3.71,2.55,0.0
20150118:1910,0.0,0.0,0.0,3.43,2.48,0.0
20150118:2010,0.0,0.0,0.0,3.05,2.14,0.0
20150118:2110,0.0,0.0,0.0,2.64,1.66,0.0
20150118:2210,0.0,0.0,0.0,2.35,1.24,0.0
20150118:2310,0.0,0.0,0.0,1.84,0.97,0.0
20150119:0010,0.0,0.0,0.0,1.85,0.62,0.0
20150119:0110,0.0,0.0,0.0,2.09,0.28,0.0
20150119:0210,0.0,0.0,0.0,1.95,0.69,0.0
20150119:0310,0.0,0.0,0.0,1.26,1.31,0.0
20150119:0410,0.0,0.0,0.0,1.32,1.38,0.0
20150119:0510,0.0,0.0,0.0,1.17,1.59,0.0
20150119:0610,0.0,0.0,0.0,0.96,2.34,0.0
20150119:0710,0.0,0.0,0.0,1.19,2.21,0.0
20150119:0810,6689.83,115.04,3.97,1.12,2.76,0.0
